recclass,year,id
H4,1838-01-01T00:00:00.000,10
H4,1841-01-01T00:00:00.000,10
H4,1849-01-01T00:00:00.000,12
H4,1850-01-01T00:00:00.000,10
H4,1857-01-01T00:00:00.000,10
H4,1861-01-01T00:00:00.000,10
H4,1862-01-01T00:00:00.000,10
H4,1868-01-01T00:00:00.000,10
H4,1875-01-01T00:00:00.000,10
H4,1887-01-01T00:00:00.000,30
H4,1892-01-01T00:00:00.000,12
H4,1900-01-01T00:00:00.000,10
H4,1908-01-01T00:00:00.000,10
H4,1910-01-01T00:00:00.000,10
H4,1917-01-01T00:00:00.000,10
H4,1918-01-01T00:00:00.000,10
H4,1923-01-01T00:00:00.000,10
H4,1925-01-01T00:00:00.000,10
H4,1933-01-01T00:00:00.000,10
H4,1934-01-01T00:00:00.000,24
H4,1935-01-01T00:00:00.000,10
H4,1936-01-01T00:00:00.000,10
H4,1939-01-01T00:00:00.000,10
H4,1942-01-01T00:00:00.000,20
H4,1950-01-01T00:00:00.000,12
H4,1951-01-01T00:00:00.000,10
H4,1952-01-01T00:00:00.000,10
H4,1954-01-01T00:00:00.000,12
H4,1957-01-01T00:00:00.000,10
H4,1962-01-01T00:00:00.000,20
H4,1964-01-01T00:00:00.000,10
H4,1965-01-01T00:00:00.000,10
H4,1971-01-01T00:00:00.000,30
H4,1988-01-01T00:00:00.000,10
H4,1995-01-01T00:00:00.000,10
H4,1998-01-01T00:00:00.000,10
H4,2003-01-01T00:00:00.000,10
H4,2008-01-01T00:00:00.000,10
H4-5,2003-01-01T00:00:00.000,10
H4-5,2007-01-01T00:00:00.000,10
H4-6,1970-01-01T00:00:00.000,10
H4-6,1991-01-01T00:00:00.000,12
H4-an,1990-01-01T00:00:00.000,12
H4/5,1981-01-01T00:00:00.000,10
H4/5,1991-01-01T00:00:00.000,10
H4/5,2002-01-01T00:00:00.000,10
H4/5,2007-01-01T00:00:00.000,10
H5,1753-01-01T00:00:00.000,10
H5,1785-01-01T00:00:00.000,10
H5,1790-01-01T00:00:00.000,10
H5,1804-01-01T00:00:00.000,10
H5,1807-01-01T00:00:00.000,10
H5,1810-01-01T00:00:00.000,10
H5,1812-01-01T00:00:00.000,10
H5,1813-01-01T00:00:00.000,10
H5,1814-01-01T00:00:00.000,10
H5,1822-01-01T00:00:00.000,10
H5,1836-01-01T00:00:00.000,10
H5,1837-01-01T00:00:00.000,10
H5,1838-01-01T00:00:00.000,10
H5,1840-01-01T00:00:00.000,10
H5,1844-01-01T00:00:00.000,20
H5,1845-01-01T00:00:00.000,10
H5,1855-01-01T00:00:00.000,10
H5,1856-01-01T00:00:00.000,10
H5,1857-01-01T00:00:00.000,20
H5,1858-01-01T00:00:00.000,10
H5,1860-01-01T00:00:00.000,20
H5,1861-01-01T00:00:00.000,10
H5,1863-01-01T00:00:00.000,10
H5,1865-01-01T00:00:00.000,10
H5,1866-01-01T00:00:00.000,30
H5,1868-01-01T00:00:00.000,20
H5,1869-01-01T00:00:00.000,10
H5,1871-01-01T00:00:00.000,22
H5,1874-01-01T00:00:00.000,22
H5,1875-01-01T00:00:00.000,20
H5,1876-01-01T00:00:00.000,10
H5,1877-01-01T00:00:00.000,10
H5,1879-01-01T00:00:00.000,20
H5,1880-01-01T00:00:00.000,10
H5,1886-01-01T00:00:00.000,20
H5,1890-01-01T00:00:00.000,32
H5,1892-01-01T00:00:00.000,12
H5,1893-01-01T00:00:00.000,10
H5,1895-01-01T00:00:00.000,10
H5,1897-01-01T00:00:00.000,20
H5,1899-01-01T00:00:00.000,22
H5,1901-01-01T00:00:00.000,10
H5,1903-01-01T00:00:00.000,10
H5,1904-01-01T00:00:00.000,20
H5,1907-01-01T00:00:00.000,12
H5,1908-01-01T00:00:00.000,10
H5,1910-01-01T00:00:00.000,10
H5,1911-01-01T00:00:00.000,12
H5,1913-01-01T00:00:00.000,10
H5,1915-01-01T00:00:00.000,10
H5,1918-01-01T00:00:00.000,12
H5,1919-01-01T00:00:00.000,10
H5,1920-01-01T00:00:00.000,20
H5,1921-01-01T00:00:00.000,12
H5,1922-01-01T00:00:00.000,10
H5,1923-01-01T00:00:00.000,10
